Date,Open,High,Low,Close,Volume
2020-01-01,1816.67,1836.99,1803.75,1818.06,6714
2020-01-02,1815.52,1830.98,1807.72,1813.22,8484
2020-01-03,1836.07,1837.18,1820.07,1836.89,9728
2020-01-04,1887.68,1906.6,1882.13,1893.02,9331
2020-01-05,1892.35,1898.56,1880.87,1884.35,5666
2020-01-06,1884.53,1897.73,1855.3,1875.71,3347
2020-01-07,1933.31,1963.51,1927.05,1935.14,6914
2020-01-08,1967.06,1973.91,1959.12,1965.04,8625
2020-01-09,1951.13,1961.42,1931.55,1946.78,3004
2020-01-10,1968.12,1968.17,1968.04,1968.1,6380
2020-01-11,1945.5,1952.63,1935.99,1950.06,3238
2020-01-12,1937.28,1986.66,1925.24,1932.09,5811
2020-01-13,1945.73,1952.27,1939.1,1941.63,8984
2020-01-14,1873.97,1908.8,1845.07,1867.53,5396
2020-01-15,1803.55,1814.67,1801.26,1803.29,4451
2020-01-16,1784.0,1784.52,1782.22,1783.19,8558
2020-01-17,1744.78,1767.41,1744.59,1747.25,5857
2020-01-18,1766.82,1791.18,1747.35,1758.4,3682
2020-01-19,1731.0,1754.32,1724.75,1726.64,4575
2020-01-20,1678.41,1679.17,1675.17,1678.05,8213
2020-01-21,1734.54,1738.88,1727.06,1727.4,2865
2020-01-22,1720.17,1734.7,1697.12,1719.78,9269
2020-01-23,1722.63,1731.75,1694.64,1722.27,7997
2020-01-24,1670.42,1678.39,1658.64,1673.37,9962
2020-01-25,1635.95,1701.87,1606.93,1655.31,9930
2020-01-26,1663.26,1699.15,1655.18,1659.15,8001
2020-01-27,1620.51,1621.34,1617.87,1621.12,3757
2020-01-28,1627.05,1729.38,1542.92,1633.47,6850
2020-01-29,1614.11,1626.27,1610.96,1614.01,2891
2020-01-30,1600.59,1618.05,1584.99,1604.75,5105
2020-01-31,1585.9,1599.05,1582.99,1585.6,9113
2020-02-01,1644.05,1646.62,1642.73,1644.5,8312
2020-02-02,1644.36,1644.4,1644.13,1644.22,3293
2020-02-03,1625.61,1651.85,1542.3,1609.6,10692
2020-02-04,1636.56,1649.93,1627.7,1636.24,6845
2020-02-05,1600.26,1606.0,1588.29,1596.46,6652
2020-02-06,1603.73,1606.33,1601.3,1603.28,8953
2020-02-07,1539.34,1548.28,1530.68,1540.61,9280
2020-02-08,1497.62,1503.11,1481.69,1499.84,3172
2020-02-09,1506.81,1510.7,1497.51,1505.89,5667
2020-02-10,1528.25,1528.32,1528.24,1528.28,3717
2020-02-11,1533.82,1537.86,1506.57,1533.67,9185
2020-02-12,1530.48,1531.69,1529.12,1530.28,8654
2020-02-13,1523.65,1525.23,1519.85,1521.22,8800
2020-02-14,1458.01,1493.93,1421.04,1476.39,5645
2020-02-15,1455.33,1455.61,1455.09,1455.28,5111
2020-02-16,1444.89,1446.8,1434.81,1442.02,5244
2020-02-17,1471.96,1500.1,1471.11,1472.65,3463
2020-02-18,1482.21,1485.3,1481.27,1482.92,3829
2020-02-19,1430.43,1432.29,1428.96,1430.78,7339
2020-02-20,1440.62,1462.34,1428.99,1440.19,2757
2020-02-21,1432.23,1445.02,1422.24,1429.25,7643
2020-02-22,1411.2,1413.47,1403.71,1410.04,3359
2020-02-23,1413.56,1489.18,1409.78,1427.43,5878
2020-02-24,1454.43,1458.46,1449.12,1457.01,4681
2020-02-25,1483.92,1486.41,1483.37,1484.29,8558
2020-02-26,1458.23,1464.55,1455.75,1459.52,9126
2020-02-27,1451.84,1459.41,1439.97,1450.64,4349
2020-02-28,1460.39,1460.81,1459.32,1460.4,4729
2020-02-29,1496.62,1517.52,1478.73,1489.04,7301
2020-03-01,1474.5,1477.16,1473.57,1474.92,2985
2020-03-02,1471.37,1491.26,1465.06,1469.59,8825
2020-03-03,1437.74,1446.98,1412.28,1437.22,4894
2020-03-04,1407.18,1410.54,1394.55,1402.98,5999
2020-03-05,1427.5,1431.82,1420.54,1425.92,4328
2020-03-06,1461.59,1465.07,1458.81,1464.74,7550
2020-03-07,1464.07,1483.47,1461.24,1462.78,7320
2020-03-08,1491.48,1496.94,1480.37,1492.28,2857
2020-03-09,1498.95,1526.2,1452.41,1503.22,7282
2020-03-10,1483.65,1484.8,1483.39,1483.98,2563
2020-03-11,1494.84,1494.93,1494.81,1494.85,6345
2020-03-12,1543.32,1547.06,1524.89,1540.99,7235
2020-03-13,1539.75,1542.42,1536.53,1540.04,6213
2020-03-14,1588.34,1588.6,1587.87,1588.38,5584
2020-03-15,1507.56,1521.81,1461.09,1505.32,8807
2020-03-16,1530.81,1539.23,1520.51,1530.21,5399
2020-03-17,1529.64,1536.81,1528.53,1533.03,8314
2020-03-18,1526.33,1528.86,1505.56,1524.01,5293
2020-03-19,1526.44,1527.3,1513.93,1526.96,7118
2020-03-20,1466.81,1468.99,1466.22,1466.42,3575
2020-03-21,1460.01,1462.38,1458.62,1460.12,6834
2020-03-22,1454.43,1490.97,1431.01,1470.7,9831
2020-03-23,1510.53,1548.92,1487.32,1514.31,4917
2020-03-24,1497.67,1518.52,1490.4,1498.77,8997
2020-03-25,1474.39,1480.53,1468.68,1474.68,5294
2020-03-26,1472.18,1492.24,1434.84,1460.03,4060
2020-03-27,1479.6,1491.65,1472.84,1486.91,3839
2020-03-28,1497.01,1498.89,1480.35,1496.83,3041
2020-03-29,1472.05,1495.61,1454.82,1481.12,5557
2020-03-30,1510.2,1521.47,1495.37,1496.48,2952
2020-03-31,1502.35,1502.46,1492.03,1499.53,2783
2020-04-01,1528.18,1529.34,1525.16,1528.73,9284
2020-04-02,1508.54,1510.33,1501.14,1507.42,9953
2020-04-03,1495.14,1505.92,1492.21,1497.69,3718
2020-04-04,1501.85,1570.17,1466.76,1486.1,6411
2020-04-05,1440.44,1449.06,1431.34,1442.75,9904
2020-04-06,1443.98,1460.83,1430.58,1451.44,6131
2020-04-07,1458.94,1467.31,1457.93,1459.16,6780
2020-04-08,1454.61,1465.97,1448.52,1459.45,6268
2020-04-09,1452.05,1453.12,1451.64,1452.75,9068
2020-04-10,1414.08,1423.88,1405.05,1411.77,4642
2020-04-11,1399.86,1405.67,1399.79,1400.04,8988
2020-04-12,1387.69,1397.44,1382.79,1390.58,8384
2020-04-13,1369.05,1390.71,1344.11,1368.41,9034
2020-04-14,1364.07,1365.18,1362.15,1364.13,6804
2020-04-15,1378.39,1380.21,1374.09,1375.29,6470
2020-04-16,1430.13,1432.92,1427.04,1427.31,7808
2020-04-17,1434.03,1440.16,1430.15,1432.44,5247
2020-04-18,1437.94,1449.24,1427.7,1439.96,4775
2020-04-19,1439.1,1444.38,1434.85,1437.96,8332
2020-04-20,1385.85,1391.68,1380.03,1382.92,3231
2020-04-21,1378.68,1382.68,1354.48,1382.32,3074
2020-04-22,1378.76,1391.09,1336.13,1384.13,3196
2020-04-23,1453.81,1453.82,1451.9,1452.46,3075
2020-04-24,1446.44,1447.92,1445.52,1447.01,8560
2020-04-25,1455.25,1465.47,1451.44,1455.88,6099
